Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2015,60,5.791,2015,Poland,0.04263,5.8745548,5.7074452,1.86565,1.12555,0.77903,1.27948,0.04212,0.53122,0.16759
2015,61,5.77,2015,Malaysia,0.0433,5.854868,5.685131999999999,1.88541,1.12486,0.72394,1.07023,0.10501,0.53024,0.33075
2015,62,5.759,2015,Croatia,0.04394,5.8451224,5.6728776000000005,2.75414,1.08254,0.78805,0.79624,0.0243,0.25883,0.05444
2015,63,5.754,2015,Libya,0.07832,5.9075072,5.6004928,2.09066,1.13145,0.7038,1.11862,0.11023,0.41668,0.18295
2015,64,5.716,2015,Russia,0.03135,5.777446,5.654554,2.27394,1.13764,0.66926,1.23617,0.03005,0.36679,0.00199
2015,65,5.709,2015,Jamaica,0.13693,5.9773828,5.440617199999999,2.32038,0.81038,0.68741,1.15102,0.02299,0.50442,0.2123
2015,66,5.695,2015,North Cyprus,0.05635,5.805446,5.584554000000001,1.59888,1.20806,0.92356,1.07008,0.1428,0.49027,0.26169
2015,67,5.689,2015,Cyprus,0.0558,5.798368,5.579632,1.88931,1.20813,0.92356,0.89318,0.06146,0.40672,0.30638
2015,68,5.605,2015,Algeria,0.05099,5.704940400000001,5.5050596,2.43209,0.93929,0.61766,1.07772,0.17383,0.28579,0.07822
2015,69,5.589,2015,Kosovo,0.05018,5.6873528,5.490647200000001,2.76579,0.80148,0.63132,0.81198,0.04741,0.24749,0.2831
2015,70,5.548,2015,Turkmenistan,0.04175,5.62983,5.46617,1.86984,0.95847,0.53886,1.22668,0.30844,0.4761,0.16979
2015,71,5.477,2015,Mauritius,0.07197,5.6180612000000005,5.3359388,1.76145,1.00761,0.7095,0.98521,0.07521,0.56066,0.37744
2015,72,5.474,2015,Hong Kong,0.05051,5.5729996,5.3750004,0.65429,1.38604,1.01328,1.05818,0.37124,0.59608,0.39478
2015,73,5.429,2015,Estonia,0.04013,5.5076548,5.3503452000000005,1.58782,1.15174,0.77361,1.22791,0.15184,0.44888,0.0868
2015,74,5.399,2015,Indonesia,0.02596,5.4498816,5.3481184,1.86399,0.82827,0.63793,1.08708,0.0,0.46611,0.51535
2015,75,5.36,2015,Vietnam,0.03107,5.420897200000001,5.2991028,2.20173,0.63216,0.74676,0.91226,0.10441,0.59444,0.1686
